Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckFreeswitchStatusCommand.java,FreeSWITCH,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/EjectUserCommand.java,FreeSWITCH,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserLockedEvent.java,FreeSWITCH,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java,FreeSWITCH,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionServiceImp.java,Presentation Conversion,Presentation Conversion,179.81,Presentation Conversion,179.81,Presentation Conversion,179.81,Presentation Conversion,179.81,Presentation Conversion,179.81,Presentation Conversion,179.81,Presentation Conversion,179.81,Presentation Conversion,179.81,Presentation Conversion,179.81
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUsersStatusEvent.java,FreeSWITCH,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConfRunningEvent.java,FreeSWITCH,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/DelayCallback.java,BBB web,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,None,76.13,None,76.13
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/PdfPageCounterHandler.java,Presentation Conversion,Presentation Conversion,82.86,Presentation Conversion,82.86,Presentation Conversion,82.86,Presentation Conversion,82.86,Presentation Conversion,82.86,Presentation Conversion,82.86,Presentation Conversion,82.86,Presentation Conversion,82.86,None,82.86
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/CountingPageException.java,Presentation Conversion,Presentation Conversion,82.53,Presentation Conversion,82.53,Presentation Conversion,82.53,Presentation Conversion,82.53,Presentation Conversion,82.53,Presentation Conversion,82.53,Presentation Conversion,82.53,Presentation Conversion,82.53,None,82.53
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCompletedProgress.java,Presentation Conversion,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,None,79.90,None,79.90
bigbluebutton,Apps,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/RedisStorageService.java,Redis DB,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/ThumbnailCreatorImp.java,Presentation Conversion,BBB web,78.04,BBB web,78.04,BBB web,78.04,BBB web,78.04,BBB web,78.04,BBB web,78.04,BBB web,78.04,None,78.04,None,78.04
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/GetUsersCommand.java,FreeSWITCH,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountFailed.java,Presentation Conversion,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,None,81.18
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SvgImageCreator.java,Presentation Conversion,Presentation Conversion,86.32,Presentation Conversion,86.32,Presentation Conversion,86.32,Presentation Conversion,86.32,Presentation Conversion,86.32,Presentation Conversion,86.32,Presentation Conversion,86.32,Presentation Conversion,86.32,None,86.32
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/DeafUserCommand.java,FreeSWITCH,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/CommandResponse.java,FreeSWITCH,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageExtractor.java,Presentation Conversion,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,None,86.19
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/Page.java,Presentation Conversion,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,Presentation Conversion,86.19,None,86.19
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslHeaders.java,FreeSWITCH,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,None,89.04
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/TransferUserToMeetingCommand.java,FreeSWITCH,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAlivePing.java,BBB web,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,None,74.81,None,74.81
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocConversionProgress.java,Presentation Conversion,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,Presentation Conversion,81.18,None,81.18
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/PlaySoundCommand.java,FreeSWITCH,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java,FreeSWITCH,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/OfficeDocumentValidator2.java,Presentation Conversion,Presentation Conversion,79.02,Presentation Conversion,79.02,Presentation Conversion,79.02,Presentation Conversion,79.02,Presentation Conversion,79.02,Presentation Conversion,79.02,Presentation Conversion,79.02,None,79.02,None,79.02
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundConnectionFailure.java,FreeSWITCH,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90
bigbluebutton,Apps,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageDistributor.java,Redis PubSub,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundClientHandler.java,FreeSWITCH,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,None,85.93
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/ExampleClient.java,FreeSWITCH,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,None,88.33
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/manager/ManagerConnection.java,FreeSWITCH,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/WaitingGuestCleanupTimerTask.java,BBB web,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,None,74.76,None,74.76
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/TurnServer.java,BBB web,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,None,74.73,None,74.73
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageAnalyser.java,Presentation Conversion,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,None,86.60
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/example/SimpleHangupOutboundHandler.java,FreeSWITCH,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,None,86.90
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/RecordCommand.java,FreeSWITCH,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionService.java,Presentation Conversion,Presentation Conversion,85.91,Presentation Conversion,85.91,Presentation Conversion,85.91,Presentation Conversion,85.91,Presentation Conversion,85.91,Presentation Conversion,85.91,Presentation Conversion,85.91,Presentation Conversion,85.91,None,85.91
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/MimeTypeUtils.java,Presentation Conversion,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,None,79.98,None,79.98
bigbluebutton,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPathIterator.java,None,BBB web,38.91,BBB web,38.91,BBB web,38.91,None,38.91,None,38.91,None,38.91,None,38.91,None,38.91,None,38.91
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceStartRecordingEvent.java,FreeSWITCH,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/Client.java,FreeSWITCH,FreeSWITCH,73.13,FreeSWITCH,73.13,FreeSWITCH,73.13,FreeSWITCH,73.13,FreeSWITCH,73.13,FreeSWITCH,73.13,FreeSWITCH,73.13,None,73.13,None,73.13
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommandResult.java,FreeSWITCH,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55
bigbluebutton,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierWrapper.java,None,BBB web,41.49,BBB web,41.49,BBB web,41.49,BBB web,41.49,None,41.49,None,41.49,None,41.49,None,41.49,None,41.49
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PageExtractorImp.java,Presentation Conversion,Presentation Conversion,83.73,Presentation Conversion,83.73,Presentation Conversion,83.73,Presentation Conversion,83.73,Presentation Conversion,83.73,Presentation Conversion,83.73,Presentation Conversion,83.73,Presentation Conversion,83.73,None,83.73
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/CallbackUrlService.java,BBB web,BBB web,75.33,BBB web,75.33,BBB web,75.33,BBB web,75.33,BBB web,75.33,BBB web,75.33,BBB web,75.33,None,75.33,None,75.33
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/BigPdfException.java,Presentation Conversion,Presentation Conversion,82.30,Presentation Conversion,82.30,Presentation Conversion,82.30,Presentation Conversion,82.30,Presentation Conversion,82.30,Presentation Conversion,82.30,Presentation Conversion,82.30,Presentation Conversion,82.30,None,82.30
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAliveMessage.java,BBB web,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,None,74.82,None,74.82
bigbluebutton,Apps,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageHandler.java,Redis PubSub,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfSlidesGenerationService.java,Presentation Conversion,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,None,81.84
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java,FreeSWITCH,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java,FreeSWITCH,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/PdfFontType3DetectorHandler.java,Presentation Conversion,Presentation Conversion,86.23,Presentation Conversion,86.23,Presentation Conversion,86.23,Presentation Conversion,86.23,Presentation Conversion,86.23,Presentation Conversion,86.23,Presentation Conversion,86.23,Presentation Conversion,86.23,None,86.23
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/StunServer.java,BBB web,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,None,74.80,None,74.80
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/debug/ExecutionHandler.java,FreeSWITCH,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,None,87.18
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/UnknownConferenceEvent.java,FreeSWITCH,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountExceeded.java,Presentation Conversion,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,Presentation Conversion,79.90,None,79.90,None,79.90
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PresentationConversionCompletionService.java,Presentation Conversion,Presentation Conversion,181.08,Presentation Conversion,181.08,Presentation Conversion,181.08,Presentation Conversion,181.08,Presentation Conversion,181.08,Presentation Conversion,181.08,Presentation Conversion,181.08,Presentation Conversion,181.08,Presentation Conversion,181.08
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/AbstractCommandHandler.java,Presentation Conversion,Presentation Conversion,77.34,Presentation Conversion,77.34,Presentation Conversion,77.34,Presentation Conversion,77.34,Presentation Conversion,77.34,Presentation Conversion,77.34,Presentation Conversion,77.34,None,77.34,None,77.34
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectUserCommand.java,FreeSWITCH,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21
bigbluebutton,Apps,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/RedisAwareCommunicator.java,Redis DB,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PageToConvert.java,Presentation Conversion,BBB web,76.58,BBB web,76.58,BBB web,76.58,BBB web,76.58,BBB web,76.58,BBB web,76.58,BBB web,76.58,None,76.58,None,76.58
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/RecordConferenceCommand.java,FreeSWITCH,FreeSWITCH,103.79,FreeSWITCH,103.79,FreeSWITCH,103.79,FreeSWITCH,103.79,FreeSWITCH,103.79,FreeSWITCH,103.79,FreeSWITCH,103.79,FreeSWITCH,103.79,FreeSWITCH,103.79
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/Office2PdfPageConverter.java,Presentation Conversion,Presentation Conversion,196.13,Presentation Conversion,196.13,Presentation Conversion,196.13,Presentation Conversion,196.13,Presentation Conversion,196.13,Presentation Conversion,196.13,Presentation Conversion,196.13,Presentation Conversion,196.13,Presentation Conversion,196.13
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageConversionStarted.java,Presentation Conversion,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,Presentation Conversion,81.84,None,81.84
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SupportedDocumentFilter.java,Presentation Conversion,Presentation Conversion,115.34,Presentation Conversion,115.34,Presentation Conversion,115.34,Presentation Conversion,115.34,Presentation Conversion,115.34,Presentation Conversion,115.34,Presentation Conversion,115.34,Presentation Conversion,115.34,Presentation Conversion,115.34
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Office2PdfConverterHandler.java,Presentation Conversion,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,None,86.60
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/FreeswitchConferenceEventListener.java,FreeSWITCH,FreeSWITCH,90.60,FreeSWITCH,90.60,FreeSWITCH,90.60,FreeSWITCH,90.60,FreeSWITCH,90.60,FreeSWITCH,90.60,FreeSWITCH,90.60,FreeSWITCH,90.60,FreeSWITCH,90.60
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageConverter.java,Presentation Conversion,Presentation Conversion,89.05,Presentation Conversion,89.05,Presentation Conversion,89.05,Presentation Conversion,89.05,Presentation Conversion,89.05,Presentation Conversion,89.05,Presentation Conversion,89.05,Presentation Conversion,89.05,None,89.05
